description	*Category	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Remove Quantity Gold Bar		1				100	15	70	83		2	Y20	GBd						Y20,qty=82	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	82		2	Y20	GBd						Y20,qty=81	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	81		2	Y20	GBd						Y20,qty=80	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	80		2	Y20	GBd						Y20,qty=79	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	79		2	Y20	GBd						Y20,qty=78	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	78		2	Y20	GBd						Y20,qty=77	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	77		2	Y20	GBd						Y20,qty=76	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	76		2	Y20	GBd						Y20,qty=75	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	75		2	Y20	GBd						Y20,qty=74	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	74		2	Y20	GBd						Y20,qty=73	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	73		2	Y20	GBd						Y20,qty=72	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	72		2	Y20	GBd						Y20,qty=71	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	71		2	Y20	GBd						Y20,qty=70	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	70		2	Y20	GBd						Y20,qty=69	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	69		2	Y20	GBd						Y20,qty=68	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	68		2	Y20	GBd						Y20,qty=67	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	67		2	Y20	GBd						Y20,qty=66	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	66		2	Y20	GBd						Y20,qty=65	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	65		2	Y20	GBd						Y20,qty=64	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	64		2	Y20	GBd						Y20,qty=63	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	63		2	Y20	GBd						Y20,qty=62	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	62		2	Y20	GBd						Y20,qty=61	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	61		2	Y20	GBd						Y20,qty=60	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	60		2	Y20	GBd						Y20,qty=59	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	59		2	Y20	GBd						Y20,qty=58	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	58		2	Y20	GBd						Y20,qty=57	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	57		2	Y20	GBd						Y20,qty=56	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	56		2	Y20	GBd						Y20,qty=55	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	55		2	Y20	GBd						Y20,qty=54	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	54		2	Y20	GBd						Y20,qty=53	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	53		2	Y20	GBd						Y20,qty=52	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	52		2	Y20	GBd						Y20,qty=51	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	51		2	Y20	GBd						Y20,qty=50	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	50		2	Y20	GBd						Y20,qty=49	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	49		2	Y20	GBd						Y20,qty=48	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	48		2	Y20	GBd						Y20,qty=47	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	47		2	Y20	GBd						Y20,qty=46	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	46		2	Y20	GBd						Y20,qty=45	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	45		2	Y20	GBd						Y20,qty=44	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	44		2	Y20	GBd						Y20,qty=43	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	43		2	Y20	GBd						Y20,qty=42	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	42		2	Y20	GBd						Y20,qty=41	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	41		2	Y20	GBd						Y20,qty=40	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	40		2	Y20	GBd						Y20,qty=39	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	39		2	Y20	GBd						Y20,qty=38	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	38		2	Y20	GBd						Y20,qty=37	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	37		2	Y20	GBd						Y20,qty=36	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	36		2	Y20	GBd						Y20,qty=35	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	35		2	Y20	GBd						Y20,qty=34	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	34		2	Y20	GBd						Y20,qty=33	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	33		2	Y20	GBd						Y20,qty=32	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	32		2	Y20	GBd						Y20,qty=31	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	31		2	Y20	GBd						Y20,qty=30	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	30		2	Y20	GBd						Y20,qty=29	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	29		2	Y20	GBd						Y20,qty=28	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	28		2	Y20	GBd						Y20,qty=27	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	27		2	Y20	GBd						Y20,qty=26	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	26		2	Y20	GBd						Y20,qty=25	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	25		2	Y20	GBd						Y20,qty=24	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	24		2	Y20	GBd						Y20,qty=23	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	23		2	Y20	GBd						Y20,qty=22	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	22		2	Y20	GBd						Y20,qty=21	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	21		2	Y20	GBd						Y20,qty=20	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	20		2	Y20	GBd						Y20,qty=19	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	19		2	Y20	GBd						Y20,qty=18	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	18		2	Y20	GBd						Y20,qty=17	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	17		2	Y20	GBd						Y20,qty=16	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	16		2	Y20	GBd						Y20,qty=15	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	15		2	Y20	GBd						Y20,qty=14	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	14		2	Y20	GBd						Y20,qty=13	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	13		2	Y20	GBd						Y20,qty=12	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	12		2	Y20	GBd						Y20,qty=11	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	11		2	Y20	GBd						Y20,qty=10	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	10		2	Y20	GBd						Y20,qty=9	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	9		2	Y20	GBd						Y20,qty=8	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	8		2	Y20	GBd						Y20,qty=7	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	7		2	Y20	GBd						Y20,qty=6	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	6		2	Y20	GBd						Y20,qty=5	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	5		2	Y20	GBd						Y20,qty=4	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	4		2	Y20	GBd						Y20,qty=3	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	3		2	Y20	GBd						Y20,qty=2	99																												Y20,qty=1	99																												GBd	99																												0
Remove Quantity Gold Bar		1				100	15	70	2		2	Y20	GBd						Y20,qty=1	99																												Y20,qty=1	99																												GBd	99																												0
Convert Gold Bar		1				100	15	70	100		2	Y20	ngld						Y20,qty=99	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	99		2	Y20	ngld						Y20,qty=98	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	98		2	Y20	ngld						Y20,qty=97	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	97		2	Y20	ngld						Y20,qty=96	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	96		2	Y20	ngld						Y20,qty=95	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	95		2	Y20	ngld						Y20,qty=94	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	94		2	Y20	ngld						Y20,qty=93	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	93		2	Y20	ngld						Y20,qty=92	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	92		2	Y20	ngld						Y20,qty=91	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	91		2	Y20	ngld						Y20,qty=90	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	90		2	Y20	ngld						Y20,qty=89	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	89		2	Y20	ngld						Y20,qty=88	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	88		2	Y20	ngld						Y20,qty=87	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	87		2	Y20	ngld						Y20,qty=86	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	86		2	Y20	ngld						Y20,qty=85	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	85		2	Y20	ngld						Y20,qty=84	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	84		2	Y20	ngld						Y20,qty=83	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	83		2	Y20	ngld						Y20,qty=82	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	82		2	Y20	ngld						Y20,qty=81	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	81		2	Y20	ngld						Y20,qty=80	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	80		2	Y20	ngld						Y20,qty=79	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	79		2	Y20	ngld						Y20,qty=78	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	78		2	Y20	ngld						Y20,qty=77	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	77		2	Y20	ngld						Y20,qty=76	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	76		2	Y20	ngld						Y20,qty=75	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	75		2	Y20	ngld						Y20,qty=74	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	74		2	Y20	ngld						Y20,qty=73	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	73		2	Y20	ngld						Y20,qty=72	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	72		2	Y20	ngld						Y20,qty=71	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	71		2	Y20	ngld						Y20,qty=70	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	70		2	Y20	ngld						Y20,qty=69	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	69		2	Y20	ngld						Y20,qty=68	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	68		2	Y20	ngld						Y20,qty=67	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	67		2	Y20	ngld						Y20,qty=66	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	66		2	Y20	ngld						Y20,qty=65	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	65		2	Y20	ngld						Y20,qty=64	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	64		2	Y20	ngld						Y20,qty=63	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	63		2	Y20	ngld						Y20,qty=62	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	62		2	Y20	ngld						Y20,qty=61	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	61		2	Y20	ngld						Y20,qty=60	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	60		2	Y20	ngld						Y20,qty=59	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	59		2	Y20	ngld						Y20,qty=58	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	58		2	Y20	ngld						Y20,qty=57	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	57		2	Y20	ngld						Y20,qty=56	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	56		2	Y20	ngld						Y20,qty=55	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	55		2	Y20	ngld						Y20,qty=54	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	54		2	Y20	ngld						Y20,qty=53	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	53		2	Y20	ngld						Y20,qty=52	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	52		2	Y20	ngld						Y20,qty=51	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	51		2	Y20	ngld						Y20,qty=50	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	50		2	Y20	ngld						Y20,qty=49	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	49		2	Y20	ngld						Y20,qty=48	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	48		2	Y20	ngld						Y20,qty=47	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	47		2	Y20	ngld						Y20,qty=46	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	46		2	Y20	ngld						Y20,qty=45	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	45		2	Y20	ngld						Y20,qty=44	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	44		2	Y20	ngld						Y20,qty=43	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	43		2	Y20	ngld						Y20,qty=42	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	42		2	Y20	ngld						Y20,qty=41	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	41		2	Y20	ngld						Y20,qty=40	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	40		2	Y20	ngld						Y20,qty=39	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	39		2	Y20	ngld						Y20,qty=38	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	38		2	Y20	ngld						Y20,qty=37	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	37		2	Y20	ngld						Y20,qty=36	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	36		2	Y20	ngld						Y20,qty=35	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	35		2	Y20	ngld						Y20,qty=34	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	34		2	Y20	ngld						Y20,qty=33	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	33		2	Y20	ngld						Y20,qty=32	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	32		2	Y20	ngld						Y20,qty=31	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	31		2	Y20	ngld						Y20,qty=30	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	30		2	Y20	ngld						Y20,qty=29	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	29		2	Y20	ngld						Y20,qty=28	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	28		2	Y20	ngld						Y20,qty=27	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	27		2	Y20	ngld						Y20,qty=26	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	26		2	Y20	ngld						Y20,qty=25	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	25		2	Y20	ngld						Y20,qty=24	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	24		2	Y20	ngld						Y20,qty=23	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	23		2	Y20	ngld						Y20,qty=22	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	22		2	Y20	ngld						Y20,qty=21	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	21		2	Y20	ngld						Y20,qty=20	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	20		2	Y20	ngld						Y20,qty=19	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	19		2	Y20	ngld						Y20,qty=18	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	18		2	Y20	ngld						Y20,qty=17	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	17		2	Y20	ngld						Y20,qty=16	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	16		2	Y20	ngld						Y20,qty=15	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	15		2	Y20	ngld						Y20,qty=14	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	14		2	Y20	ngld						Y20,qty=13	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	13		2	Y20	ngld						Y20,qty=12	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	12		2	Y20	ngld						Y20,qty=11	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	11		2	Y20	ngld						Y20,qty=10	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	10		2	Y20	ngld						Y20,qty=9	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	9		2	Y20	ngld						Y20,qty=8	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	8		2	Y20	ngld						Y20,qty=7	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	7		2	Y20	ngld						Y20,qty=6	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	6		2	Y20	ngld						Y20,qty=5	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	5		2	Y20	ngld						Y20,qty=4	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	4		2	Y20	ngld						Y20,qty=3	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	3		2	Y20	ngld						Y20,qty=2	99																												Gu5	99																																																									0
Convert Gold Bar		1				100	15	70	2		2	Y20	ngld						Y20,qty=1	99																												Gu5	99																																																									0
Convert Gold Bar		1				100					2	Y20	ngld						Gu5	99																																																																																						0
Imbue Item		1				100					4	any,nor	jew,rar,qty=3						usetype,rar			100																																																																																				0
Reroll Rare Items		1				100					5	any,rar,qty=5							usetype,rar																																																																																							0
Add Knockback		1				100	15	81	1		2	any,mag	hamm						useitem				knock			1	1																																																																															0
Add Knockback		1				100	15	81	1		2	any,rar	hamm						useitem				knock			1	1																																																																															0
Add Knockback		1				100	15	81	1		2	any,set	hamm						useitem				knock			1	1																																																																															0
Add Knockback		1				100	15	81	1		2	any,uni	hamm						useitem				knock			1	1																																																																															0
