name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight	spelldesc	spelldescstr	calc1	spelldesccalc	spelldesccolor
Bone Wand	nwnd	1wpn	bwn	bwn	bwn	0		1	1	0	xxx			4	9			0	0	0	0		-20	100				19		18	1	0	1037	6966	1	312	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	3	5	5	7	1					255					255					255					20					20					255					255	3	4	2	3	20	1	2	0	xxx	xxx	1	0		4	ItemTypeWand5	-20		
Grim Wand	nwnd	1wpn	gwn	bwn	gwn	0		1	1	0	xxx			7	14			0	0	0	0			100				19		26	1	0	1678	14010	1	312	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255										255					255	1	2		1	1					255					255					255					20					20					255					255	1	3	1	2	20	1	2	0	xxx	xxx	1	0		4	ItemTypeWand3			
Club	bran	1wpn	clb	clb	clb	0		1	1	0	xxx			2	8			0	0	0	0		-10	100				30		1	1	0	26	606		363	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255					20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	mac	mst	1	0		4	ItemTypeBranch4	-10		
Scepter	pscp	1wpn	scp	mac	scp	0		2	1	0	xxx			8	14			0	0	0	0			100		25		63		3	1	0	280	1010		313	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255	2	4	2	4	1					255					255	2	3	3	5	1					255					255		1		1	1					255					255					255					20					255					255					255					20	2	2	0	gsc	wsp	1	0		4	ItemTypeScepter3			
Grand Scepter	pscp	1wpn	gsc	mac	gsc	0		4	1	0	xxx			10	23			0	0	0	0	1	10	100		37		75		15	1	0	887	5327		313	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255	1	3	1	3	1					255					255	3	5	3	5	1					255					255					255					20					20					255					255	2	3	1	2	20	2	2	0	xxx	wsp	1	0		4	ItemTypeScepter2	10		
War Scepter	pscp	1wpn	wsp	whm	wsp	0		4	1	0	xxx			13	22			0	0	0	0	1	-10	100		55		88		21	1	0	1858	12357		313	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255	1	3	1	3	1					255					255					255					20					20					255					255	1	2	1	1	20	2	2	0	xxx	xxx	1	0		4	ItemTypeScepter4	-10		
Spiked Club	bran	1wpn	spc	clb	spc	0		3	1	0	xxx			7	10			0	0	0	0	1		100				45		4	1	0	180	1080			spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1		1		1	1					20					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	2	2	0	mac	mst	1	0		4	ItemTypeClub3			
Mace	mace	1wpn	mac	mac	mac	0		4	1	0	xxx			4	13			0	0	0	0			100		27		75		8	1	0	370	2041		356	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3		1		1	1					20					255		1		1	20					255					255					255					255					255					1					255					255					255					255					255					255					255	2	2	0	mst	mau	1	0		4	ItemTypeMace3			
Morning Star	mace	1wpn	mst	mac	mst	0		4	1	0	xxx			9	20			0	0	0	0	1	10	100		36		90		13	1	0	675	3994		356	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	fla	1	0		4	ItemTypeMace2	10		
Flail	mace	1wpn	fla	fla	fla	0		4	1	0	xxx			2	30			0	0	0	0	2	-10	100		41	35	38		19	1	0	1130	7766		356	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1	1	1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	0	xxx	gma	1	0		4	ItemTypeMace4	-10		
War Hammer	hamm	1wpn	whm	whm	whm	0		4	1	0	xxx			24	37			0	0	0	0		20	125		53		69		25	1	0	1665	13405			whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3					255					255					255					255					255					255	1	1		1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	mau	gma	1	0		4	ItemTypeHammer1	20		
Maul	hamm	1wpn	mau	mau	mau	0		4	1	0	xxx			0	0		1	44	63	0	0	1	10	130		75		75		21	1	0	1336	9614		318	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	0	xxx	mau	1	0		4	ItemTypeHammer2	10		
Great Maul	hamm	1wpn	gma	mau	gma	0		3	1	0	xxx			0	0		1	53	78	0	0	2	20	130		105		75		32	1	0	2572	24276		318	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeHammer1	20		
Short Sword	swor	1wpn	ssd	ssd	ssd	0		3	1	0	xxx			3	9			0	0	0	0			85				30		1	1	0	58	614			ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1		1	1					20					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	1	2	0	scm	wsd	1	0		4	ItemTypeSword3			
Scimitar	swor	1wpn	scm	scm	scm	0		3	1	0	xxx			3	8			0	0	0	0		-20	80	60		21	28		5	1	0	219	1274			scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					20					255		1		1	20					255					255					255					255					255					1					255					255					255					255					255					255					255	1	2	0	sbr	lsd	1	0		4	ItemTypeSword5	-20		
Saber	swor	1wpn	sbr	scm	sbr	0		3	1	0	xxx			4	10			0	0	0	0		-10	70	70	25	25	40		8	1	0	373	2046			sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255		1		1	20					255					255					255					255					255					1					255					255					255					255					255					255					255	1	2	0	flc	bsd	1	0		4	ItemTypeSword4	-10		
Falchion	swor	1wpn	flc	flc	flc	0		4	1	0	xxx			12	22			0	0	0	0		10	100		33		40		11	1	0	546	3103			flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1		1	20					255					255					255					255					255					1					255					255					255					255					255					255					255	1	2	0	bsd	wsd	1	0		4	ItemTypeSword2	10		
Crystal Sword	xbow	1wpn	crs	crs	crs	0		2	1	0	xxx			7	19			0	0	0	0	1	-30	90	60	43		25		11	1	0	1702	6279			crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	5	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1					255	1	1	1	1	255					255					255					255					255					255	1	1	1	1	255					255	1	1	1	1	3					255					255					255	1	1	1	1	255					255	1	1	1	1	255					255	1	8	0	xxx	xxx	1	0		4	ItemTypeSpellBlade5	-30		
Broad Sword	swor	1wpn	bsd	bsd	bsd	0		4	1	0	xxx			9	18			0	0	0	0			110	20	48		40		15	1	0	823	5087			bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255			1	1	20					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	lsd	wsd	1	0		4	ItemTypeSword3			
Long Sword	swor	1wpn	lsd	lsd	lsd	0		4	1	0	xxx			4	24			0	0	0	0	1	-10	90	80	55	39	55		20	1	0	1216	8580			lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	2	20					255					255	1	1	1	2	20					255					255					255					255					255	1	1	1	2	20					255					255					255					255	1	2	0	wsd	wsd	1	0		4	ItemTypeSword4	-10		
War Sword	swor	1wpn	wsd	flc	wsd	0		4	1	0	xxx			10	25			0	0	0	0	1		100		71	45	55		27	1	0	1598	13984			wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	2	1	3	20					255	1	1	1	3	20					255			1	2	20	1	2	0	xxx	xxx	1	0		4	ItemTypeSword3			
Katana	kata	1wpn	2hs	clm	2hs	0		4	1	0	xxx			3	12			10	22	0	0	3	-20	70	100	30	30	55		10	1	0	515	2788		365	2hs	92h	72h	ht1	ht1	5	1hsl	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	1	2	0	clm	gis	1	0		4	ItemTypeSword5	-20		
Claymore	swor	1wpn	clm	clm	clm	0		4	1	0	xxx			7	15	1	1	17	38	0	0	2	10	105		47		63		17	1	0	1010	6491			clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	gis	bsw	1	0		4	ItemTypeSword2	10		
Giant Sword	swor	1wpn	gis	gsd	gis	0		4	1	0	xxx			4	20	1	1	12	35	0	0	2		110		56	34	63		21	1	0	1167	8728			gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1	1	2	20					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	1	2	0	bsw	flb	1	0		4	ItemTypeSword3			
Bastard Sword	mswo	1wpn	bsw	clm	bsw	0		4	1	0	xxx			9	24	1	1	25	35	0	0	1	-10	110		62		50		24	1	0	1577	12361		373	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255		1	1	1	20					255					255	1	2	0	xxx	xxx	1	0		4	ItemTypeSword4	-10		
Flamberge	swor	1wpn	flb	clm	flb	0		4	1	0	xxx			12	19	1	1	17	33	0	0	2		110	20	70	49	63		27	1	0	1920	16160			flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1	1	1	20					255					255					255					255					255	1	1	1	2	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0		4	ItemTypeSword3			
Great Sword	swor	1wpn	gsd	gsd	gsd	0		4	1	0	xxx			15	25	1	1	32	53	0	0	2	10	120		100	60	63		33	1	0	2761	26577			gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	3	20					255		1	1	2	20					255					255	1	2	0	xxx	xxx	1	0		4	ItemTypeSword2	10		
Dagger	knif	1wpn	dgr	dgr	dgr	0		2	1	0	xxx			2	5			0	0	0	0		-20	75	75			20		3	1	0	48	836			dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					20					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	1	2	0	kri	bld	1	0		4	ItemTypeKnife5	-20		
Dirk	knif	1wpn	dir	dir	dir	0		2	1	0	xxx			4	12			0	0	0	0			70	80	15		25		9	1	0	426	2358			dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3		1		1	1					255					255	1	1	1	1	20					255					255					255					255					255					1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	0	kri	bld	1	0		4	ItemTypeKnife3			
Kriss	knif	1wpn	kri	dir	kri	0		2	1	0	xxx			3	14			0	0	0	0		-20	75	75	15		30		17	1	0	982	6372		312	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	255					255					255					255					255					255	1	1	1	1	255					255	1	1	1	1	3					255					255					255	1	1	1	1	255					255	1	1	1	1	255					255	1	2	0	xxx	xxx	1	0		4	ItemTypeKnife5	-20		
Blade	knif	1wpn	bld	dgr	bld	0		3	1	0	xxx			5	19			0	0	0	0		-10	75	75	15		30		23	1	0	1411	10914		312	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	255					255					255					255					255					255	1	1	1	1	255					255	1	1	1	1	3					255					255					255	1	1	1	1	255					255	1	1	1	1	255					255	1	2	0	xxx	xxx	1	0		4	ItemTypeKnife4	-10		
Throwing Knife	tkni	1wpn	tkf	dgr	tkf	0		2	1	0	xxx			3	4			0	0	5	12			75	75		21	5		2	1	0	2	702			tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	500	500	500	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	5	0	3	1	2			255					20					255					255					255					255					20					255					255					1					255					255					255					255					255					255			1	1	20	1	2	0	bkf	bkf	1	0		4	ItemTypeThrowKnife3			
Throwing Axe	fthr	1wpn	tax	hax	tax	0		2	1	0	xxx			5	9			0	0	10	15		10	75	75		30	32		2	1	0	2	1215		376	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	500	500	500	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	2	2			255					20					255	1	1			20					255					255					20					255					255					1					255					255					255					255					255					255			1	1	20	2	2	0	bal	bal	1	0		4	ItemTypeThrowAxe2	10		
Balanced Knife	tkni	1wpn	bkf	dgr	bkf	0		2	1	0	xxx			2	10			0	0	8	14		-20	75	75		51	10		13	1	0	2	1839			bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	500	500	500	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	5	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255			1	1	20	1	2	0	xxx	xxx	1	0		4	ItemTypeThrowKnife5	-20		
